gene_name	cisbp_motif_id	var_explained	beta	padj	activ_or_repr
BORCS8-MEF2B	M08912_1	1.0411778321728349e-06	-0.007501467684940758	1.0	repressing
BORCS8-MEF2B	M08910_1	1.0256940562447525e-06	-0.008472251291939405	1.0	repressing
BPTF	M04009_1	3.425296739578698e-06	-0.008221246407094884	1.0	repressing
BPTF	M06463_1	1.0392807136994087e-05	-0.009975451745671325	1.0	repressing
BSX	M05585_1	1.0274929285181145e-06	-0.008254914103476835	1.0	repressing
CARF	M03773_1	0.0	0.0	1.0	
CCDC169-SOHLH2	M00218_1	0.0	0.0	1.0	
CCDC169-SOHLH2	M09149_1	3.4196307365785827e-06	-0.02017983369211505	1.0	repressing
CDC5L	M03776_1	7.239874241227184e-07	-0.0057343007796087486	1.0	repressing
CDC5L	M06466_1	7.976314951863017e-07	-0.006574398422672332	1.0	repressing
CDX1	M05587_1	1.27097745616922e-06	-0.005636380086598157	1.0	repressing
CDX1	M08520_1	1.100622412320007e-06	-0.006262709778912399	1.0	repressing
CDX2	M09470_1	1.1278824442184643e-06	-0.0077019431245147554	1.0	repressing
CDX4	M08523_1	1.1343915297112872e-06	-0.0061762921296394276	1.0	repressing
CEBPA	M00400_1	2.276440204118657e-07	-0.011776995729016415	1.0	repressing
CEBPB	M05589_1	2.576668442944019e-06	-0.01339962880313981	1.0	repressing
CEBPD	M08526_1	3.60610148397722e-06	-0.014254811427721753	1.0	repressing
CEBPD	M05591_1	2.447629956492392e-06	-0.013242276055441034	1.0	repressing
CEBPE	M05592_1	2.574868666949115e-06	-0.013347961915515261	1.0	repressing
CEBPG	M05594_1	2.3921185480224594e-06	-0.013042997003797796	1.0	repressing
CEBPZ	M06474_1	2.176783640783775e-06	-0.011002066038934026	1.0	repressing
CEBPZ	M03668_1	0.0	0.0	1.0	
CENPB	M05595_1	3.1505713099511112e-06	-0.022068523403009556	1.0	repressing
CENPBD1	M00846_1	0.0	0.0	1.0	
CIC	M02158_1	2.7397942737872327e-06	-0.009935500221452348	1.0	repressing
CLOCK	M08534_1	3.430973066653742e-06	-0.015622716991166808	1.0	repressing
CLOCK	M05596_1	1.975839697521131e-06	-0.01341313468432761	1.0	repressing
CPEB1	M05597_1	2.4151464368404874e-06	-0.006271462281713468	1.0	repressing
CREB1	M10066_1	9.101639371067449e-07	-0.018492583472153382	1.0	repressing
CREB3	M10072_1	1.5104147281785885e-06	-0.014536047558646957	1.0	repressing
CREB3L1	M05601_1	2.3805033813051324e-06	-0.016400969368516954	1.0	repressing
CREB3L2	M00402_1	2.4030384425666185e-06	-0.015299693976875778	1.0	repressing
CREB3L4	M10091_1	3.153203242622915e-06	-0.016667989471385935	1.0	repressing
CREB5	M08542_1	8.707209703251451e-07	-0.008941691963044639	1.0	repressing
CREB5	M08540_1	8.249991784170518e-07	-0.009752173171483046	1.0	repressing
CREBL2	M07230_1	7.697304433840202e-07	-0.012798061213159897	1.0	repressing
CREBZF	M00404_1	6.690555981458957e-07	-0.01475743664438317	1.0	repressing
CREM	M08544_1	7.850208014748006e-07	-0.01572345085537892	1.0	repressing
CRX	M08546_1	1.899236079405675e-06	-0.013272379871585303	1.0	repressing
CTCF	M10351_1	3.533932444776955e-05	-0.026822048173133994	1.0	repressing
CTCFL	M05451_1	3.0160862223849172e-05	-0.02563567011393053	1.0	repressing
CUX1	M05609_1	4.188535375204694e-07	-0.007268044671440711	1.0	repressing
CUX2	M05611_1	3.258818576101774e-07	-0.006295486263998329	1.0	repressing
CXXC1	M00872_1	1.0239825260160984e-05	-0.028921819681852635	1.0	repressing
CXXC1	M00872_1	1.0239825260160984e-05	-0.028921819681852635	1.0	repressing
CXXC5	M00881_1	0.0	0.0	1.0	
DBP	M05613_1	3.211333919894699e-07	-0.006659757312926272	1.0	repressing
DBX1	M01380_1	5.699703036210479e-07	-0.005195554632577867	1.0	repressing
DBX2	M01428_1	4.1632311342798545e-07	-0.006338087714080061	1.0	repressing
DDIT3	M03819_1	0.0	0.0	1.0	
DDIT3	M06487_1	1.174542395421252e-05	-0.0154080145481579	1.0	repressing
DEAF1	M03875_1	0.0	0.0	1.0	
DEAF1	M03876_1	0.0	0.0	1.0	
DLX1	M08556_1	5.192792769115329e-07	-0.006615265673631592	1.0	repressing
DLX2	M08560_1	5.192792769115329e-07	-0.006615265673631592	1.0	repressing
DLX3	M05616_1	8.209556727756251e-07	-0.007482495694044335	1.0	repressing
DLX4	M05617_1	8.209556727756251e-07	-0.007482495694044335	1.0	repressing
DLX5	M08569_1	5.192792769115329e-07	-0.006615265673631592	1.0	repressing
DLX6	M08570_1	5.192792769115329e-07	-0.006615265673631592	1.0	repressing
DLX6	M05619_1	6.545745758756993e-07	-0.007244834142741345	1.0	repressing
DMBX1	M08571_1	0.001075346752211992	0.12138918297612468	0.02293778369575958	activating
DMBX1	M05620_1	1.2799168853661058e-06	-0.009493495319829699	1.0	repressing
DMRT1	M00895_1	5.784097154570844e-07	-0.004996260494476707	1.0	repressing
DMRT2	M00898_1	9.075716762563246e-07	-0.005662944917697086	1.0	repressing
DMRT3	M00894_1	8.846274459628489e-07	-0.0063256256625827765	1.0	repressing
DMRT3	M08575_1	7.086556631508145e-07	-0.0051702930884608	1.0	repressing
